"ID";"Name";"NumberOfPersons";"global_id";"Year";"Month";
"1";"Александр";"253";"37750243";"2015";"январь";
"2";"Михаил";"247";"37750244";"2015";"январь";
"3";"Иван";"226";"37750245";"2015";"январь";
"4";"Максим";"208";"37750246";"2015";"январь";
"5";"Артём";"190";"37750247";"2015";"январь";
"6";"Даниил";"171";"62361364";"2015";"январь";
"7";"Дмитрий";"164";"62361365";"2015";"январь";
"8";"Кирилл";"151";"62361366";"2015";"январь";
"9";"Андрей";"130";"62361367";"2015";"январь";
"10";"Егор";"126";"62361368";"2015";"январь";
"11";"Илья";"122";"62361369";"2015";"январь";
"12";"Алексей";"108";"62361370";"2015";"январь";
"13";"Владимир";"107";"62361371";"2015";"январь";
"14";"Матвей";"102";"62361372";"2015";"январь";
"15";"Тимофей";"102";"62361373";"2015";"январь";
"16";"Ярослав";"91";"62361374";"2015";"январь";
"17";"Роман";"90";"62361375";"2015";"январь";
"18";"Фёдор";"87";"62361376";"2015";"январь";
"19";"Никита";"87";"62361377";"2015";"январь";
"20";"Марк";"85";"62361378";"2015";"январь";
"21";"Сергей";"84";"62361379";"2015";"январь";
"22";"Николай";"70";"62361380";"2015";"январь";
"23";"Владислав";"63";"62361381";"2015";"январь";
"24";"Степан";"61";"62361382";"2015";"январь";
"25";"Глеб";"57";"62361383";"2015";"январь";
"26";"Лев";"51";"62361384";"2015";"январь";
"27";"Павел";"51";"62361385";"2015";"январь";
"28";"Евгений";"50";"62361387";"2015";"январь";
"29";"Арсений";"49";"62361388";"2015";"январь";
"30";"Константин";"49";"62361389";"2015";"январь";
"31";"Георгий";"48";"62361390";"2015";"январь";
"32";"Григорий";"46";"62361392";"2015";"январь";
"33";"Тимур";"44";"62361393";"2015";"январь";
"34";"Макар";"40";"62361394";"2015";"январь";
"35";"Игорь";"39";"62361396";"2015";"январь";
"36";"Руслан";"36";"62361397";"2015";"январь";
"37";"Пётр";"36";"62361398";"2015";"январь";
"38";"Виктор";"35";"62361400";"2015";"январь";
"39";"Денис";"35";"62361401";"2015";"январь";
"40";"Семён";"34";"62361402";"2015";"январь";
"41";"Платон";"33";"62361404";"2015";"январь";
"42";"Артемий";"32";"62361405";"2015";"январь";
"43";"Богдан";"31";"62361406";"2015";"январь";
"44";"Василий";"30";"62361407";"2015";"январь";
"45";"Юрий";"30";"62361409";"2015";"январь";
"46";"Давид";"29";"62361410";"2015";"январь";
"47";"Данила";"29";"62361411";"2015";"январь";
"48";"Леонид";"28";"62361412";"2015";"январь";
"49";"Антон";"28";"62361413";"2015";"январь";
"50";"Вячеслав";"26";"62361414";"2015";"январь";
"51";"Амир";"26";"62361415";"2015";"январь";
"52";"Захар";"25";"62361416";"2015";"январь";
"53";"Мирон";"25";"62361417";"2015";"январь";
"54";"Савелий";"23";"62361418";"2015";"январь";
"55";"Всеволод";"21";"62361419";"2015";"январь";
"56";"Артур";"20";"62361420";"2015";"январь";
"57";"Адам";"19";"62361421";"2015";"январь";
"58";"Елисей";"19";"62361422";"2015";"январь";
"59";"Родион";"18";"62361423";"2015";"январь";
"60";"Олег";"18";"62361424";"2015";"январь";
"61";"Филипп";"17";"62361425";"2015";"январь";
"62";"Даниэль";"17";"62361427";"2015";"январь";
"63";"Вадим";"17";"62361428";"2015";"январь";
"64";"Лука";"17";"62361429";"2015";"январь";
"65";"Демид";"16";"62361430";"2015";"январь";
"66";"Умар";"15";"62361431";"2015";"январь";
"67";"Святослав";"15";"62361432";"2015";"январь";
"68";"Ян";"14";"62361433";"2015";"январь";
"69";"Дамир";"14";"62361434";"2015";"январь";
"70";"Данил";"14";"62361435";"2015";"январь";
"71";"Тихон";"13";"62361436";"2015";"январь";
"72";"Борис";"13";"62361437";"2015";"январь";
"73";"Гордей";"13";"62361438";"2015";"январь";
"74";"Артем";"12";"62361439";"2015";"январь";
"75";"Роберт";"11";"62361440";"2015";"январь";
"76";"Серафим";"11";"62361441";"2015";"январь";
"77";"Мирослав";"11";"62361442";"2015";"январь";
"78";"Валерий";"11";"62361443";"2015";"январь";
"79";"Виталий";"11";"62361444";"2015";"январь";
"80";"Мухаммад";"10";"62361445";"2015";"январь";
"81";"Марат";"10";"62361447";"2015";"январь";
"82";"Станислав";"10";"62361448";"2015";"январь";
"83";"Муслим";"10";"62361449";"2015";"январь";
"84";"Амин";"9";"62361450";"2015";"январь";
"85";"Герман";"9";"62361451";"2015";"январь";
"86";"Камиль";"9";"62361452";"2015";"январь";
"87";"Савва";"9";"62361453";"2015";"январь";
"88";"Али";"9";"62361454";"2015";"январь";
"89";"Тамерлан";"8";"62361455";"2015";"январь";
"90";"Юсуф";"8";"62361456";"2015";"январь";
"91";"Яков";"8";"62361457";"2015";"январь";
"92";"Рустам";"8";"62361458";"2015";"январь";
"93";"Эмиль";"7";"62361459";"2015";"январь";
"94";"Билал";"7";"62361460";"2015";"январь";
"95";"Нурислам";"7";"62361461";"2015";"январь";
"96";"Данис";"6";"62361462";"2015";"январь";
"97";"Ислам";"6";"62361463";"2015";"январь";
"98";"Эрик";"6";"62361464";"2015";"январь";
"99";"Игнат";"6";"62361465";"2015";"январь";
"100";"Анатолий";"6";"62366321";"2015";"январь";
"101";"Максим";"242";"62366322";"2015";"февраль";
"102";"Александр";"228";"62366323";"2015";"февраль";
"103";"Артём";"207";"62366324";"2015";"февраль";
"104";"Михаил";"190";"62366325";"2015";"февраль";
"105";"Иван";"186";"62366326";"2015";"февраль";
"106";"Дмитрий";"147";"62366327";"2015";"февраль";
"107";"Егор";"136";"62366328";"2015";"февраль";
"108";"Кирилл";"120";"62366329";"2015";"февраль";
"109";"Андрей";"120";"62366330";"2015";"февраль";
"110";"Тимофей";"120";"62366331";"2015";"февраль";
"111";"Даниил";"117";"62366332";"2015";"февраль";
"112";"Илья";"116";"62366333";"2015";"февраль";
"113";"Алексей";"101";"62366334";"2015";"февраль";
"114";"Владимир";"97";"62366335";"2015";"февраль";
"115";"Матвей";"94";"62366336";"2015";"февраль";
"116";"Фёдор";"89";"62366337";"2015";"февраль";
"117";"Роман";"88";"62366338";"2015";"февраль";
"118";"Никита";"85";"62366339";"2015";"февраль";
"119";"Ярослав";"81";"62366340";"2015";"февраль";
"120";"Марк";"74";"62366341";"2015";"февраль";
"121";"Сергей";"70";"62366342";"2015";"февраль";
"122";"Владислав";"66";"62366343";"2015";"февраль";
"123";"Николай";"66";"62366344";"2015";"февраль";
"124";"Степан";"65";"62366345";"2015";"февраль";
"125";"Лев";"61";"62366346";"2015";"февраль";
"126";"Арсений";"58";"62366347";"2015";"февраль";
"127";"Тимур";"57";"62366348";"2015";"февраль";
"128";"Глеб";"56";"62366349";"2015";"февраль";
"129";"Семён";"56";"62366350";"2015";"февраль";
"130";"Константин";"53";"62366352";"2015";"февраль";
"131";"Георгий";"48";"62366353";"2015";"февраль";
"132";"Павел";"46";"62366354";"2015";"февраль";
"133";"Григорий";"45";"62366355";"2015";"февраль";
"134";"Давид";"43";"62366356";"2015";"февраль";
"135";"Денис";"42";"62366357";"2015";"февраль";
"136";"Макар";"38";"62366358";"2015";"февраль";
"137";"Данила";"36";"62366359";"2015";"февраль";
"138";"Руслан";"34";"62366361";"2015";"февраль";
"139";"Виктор";"33";"62366362";"2015";"февраль";
"140";"Амир";"32";"62366363";"2015";"февраль";
"141";"Евгений";"29";"62366364";"2015";"февраль";
"142";"Артемий";"29";"62366365";"2015";"февраль";
"143";"Игорь";"28";"62366366";"2015";"февраль";
"144";"Василий";"27";"62366368";"2015";"февраль";
"145";"Захар";"27";"62366369";"2015";"февраль";
"146";"Антон";"26";"62366370";"2015";"февраль";
"147";"Леонид";"26";"62366371";"2015";"февраль";
"148";"Богдан";"25";"62366372";"2015";"февраль";
"149";"Пётр";"25";"62366373";"2015";"февраль";
"150";"Даниэль";"25";"62366374";"2015";"февраль";
"151";"Платон";"25";"62366375";"2015";"февраль";
"152";"Мирон";"24";"62366376";"2015";"февраль";
"153";"Всеволод";"23";"62366377";"2015";"февраль";
"154";"Вячеслав";"22";"62366378";"2015";"февраль";
"155";"Елисей";"21";"62366379";"2015";"февраль";
"156";"Савелий";"21";"62366380";"2015";"февраль";
"157";"Артем";"20";"62366381";"2015";"февраль";
"158";"Тихон";"19";"62366382";"2015";"февраль";
"159";"Станислав";"19";"62366383";"2015";"февраль";
"160";"Умар";"19";"62366384";"2015";"февраль";
"161";"Святослав";"19";"62366385";"2015";"февраль";
"162";"Юрий";"18";"62366386";"2015";"февраль";
"163";"Лука";"18";"62366387";"2015";"февраль";
